,Foldchange,stat,pvalue,FDR,comparison,group1,group2
TMEM179B,-0.20573313172897176,-1.4990750706054288,0.1338541580454636,0.999247160775692,2_vs_0,2,0
SRI,-0.18979563697736412,-1.4925474183737513,0.13555569604503037,0.999247160775692,2_vs_0,2,0
PSMD8,-0.27283128326261336,-1.4888850368250843,0.136517644440208,0.999247160775692,2_vs_0,2,0
PSMB6,-0.3268788087414703,-1.4835991978022585,0.13791528234570713,0.999247160775692,2_vs_0,2,0
S100A10,-6.381017854180479,-1.4786530512182134,0.13923306612616781,0.999247160775692,2_vs_0,2,0
PDIA6,-0.21491853721357812,-1.4683171668694184,0.14201808997032683,0.999247160775692,2_vs_0,2,0
BSG,-0.3263810796789086,-1.463026769930668,0.1434600540170267,0.999247160775692,2_vs_0,2,0
SF3B6,-0.22067431555765424,-1.4625509562637582,0.14359029147064764,0.999247160775692,2_vs_0,2,0
NKG7,-3.741576035746027,-1.4577191616768497,0.14491796807693444,0.999247160775692,2_vs_0,2,0
PSMB2,-0.19645333872010923,-1.455676486942898,0.1454820728143384,0.999247160775692,2_vs_0,2,0
SSU72,-0.18688613186218034,-1.4544850626911197,0.14581187182275485,0.999247160775692,2_vs_0,2,0
GSTK1,-0.45594682915100493,-1.4498188984839098,0.14710902802441084,0.999247160775692,2_vs_0,2,0
POU2F2,-0.23038073285534522,-1.4396927708598262,0.14995433954450485,0.999247160775692,2_vs_0,2,0
FOS,-8.799695512596431,-1.436140607888308,0.15096233505075063,0.999247160775692,2_vs_0,2,0
JUND,-0.6196480496864072,-1.435435488339081,0.1511630392887361,0.999247160775692,2_vs_0,2,0
PTPN6,-0.4281829775496264,-1.434723059301375,0.15136603050727307,0.999247160775692,2_vs_0,2,0
UBE2D3,-0.34282674253073164,-1.4320027750070918,0.1521430271426997,0.999247160775692,2_vs_0,2,0
HLA-B,-7.959623358037694,-1.4225295382492533,0.15487258277482513,0.999247160775692,2_vs_0,2,0
ATF4,-0.16432523672052998,-1.4128776004980614,0.15769171625294753,0.999247160775692,2_vs_0,2,0
SF3B2,-0.26579937785253677,-1.4105651964895307,0.15837285986896188,0.999247160775692,2_vs_0,2,0
EIF4EBP1,-0.1661682045458067,-1.4032393219450467,0.16054548547626468,0.999247160775692,2_vs_0,2,0
FAAP20,-0.17986072619060817,-1.3973532185576811,0.1623073795819472,0.999247160775692,2_vs_0,2,0
MRPL20,-0.21460213723265734,-1.3850791543215324,0.16602826523321457,0.999247160775692,2_vs_0,2,0
PSTPIP1,-0.16401231028251645,-1.3755588242694108,0.16895826202356412,0.999247160775692,2_vs_0,2,0
GAPDH,-5.462092979266751,-1.371096735195765,0.17034480259253781,0.999247160775692,2_vs_0,2,0
RPN1,-0.18505016874354757,-1.370688125836497,0.17047219793871748,0.999247160775692,2_vs_0,2,0
CYC1,-0.1605698659252475,-1.3682584583067028,0.17123118901627432,0.999247160775692,2_vs_0,2,0
TMEM160,-0.19663084930317407,-1.3669583978746482,0.1716383458006746,0.999247160775692,2_vs_0,2,0
FCGRT,-0.3882207781894098,-1.3660637893627043,0.17191894255411688,0.999247160775692,2_vs_0,2,0
ZNF706,-0.17572579271178718,-1.3647395883868108,0.17233491222204678,0.999247160775692,2_vs_0,2,0
LYZ,-9.415633818774024,-1.361404373589427,0.17338593473969233,0.999247160775692,2_vs_0,2,0
HACD4,-0.1748201872778793,-1.358296713801515,0.1743695526121415,0.999247160775692,2_vs_0,2,0
